2026-04-13 03:41:08,873 | ERROR | __main__ | Error in Analysis for campaign_1: OpenAI API error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************yrEA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}
2026-04-13 03:41:08,873 | ERROR | __main__ | Error in Recommendation for campaign_1: Analysis results not found in context. Ensure AnalysisModule ran first.
2026-04-13 03:41:08,873 | INFO | __main__ | All campaigns processed. Results available in: data/outputs/run_20260413_034107
2026-04-13 03:49:15,959 | INFO | root | Logging initialized.
2026-04-13 03:49:15,961 | INFO | root | Logging initialized.
2026-04-13 03:49:15,963 | INFO | __main__ | Initialized Run Folder: data/outputs/run_20260413_034915
2026-04-13 03:49:15,963 | INFO | src.core.pipeline_engine | Registered module: Ingestion
2026-04-13 03:49:15,963 | INFO | src.core.pipeline_engine | Registered module: Preprocessing
2026-04-13 03:49:15,963 | INFO | __main__ | Executing Preparation Phase (Ingestion & Preprocessing)...
2026-04-13 03:49:15,963 | INFO | src.core.pipeline_engine | Starting pipeline execution...
2026-04-13 03:49:15,963 | INFO | src.core.pipeline_engine | Running module: Ingestion
2026-04-13 03:49:15,977 | INFO | src.core.pipeline_engine | Running module: Preprocessing
2026-04-13 03:49:15,992 | INFO | src.core.pipeline_engine | Pipeline execution finished.
2026-04-13 03:49:15,993 | INFO | __main__ | Limiting execution to first 1 rows.
2026-04-13 03:49:16,642 | INFO | __main__ | Starting Granular Processing for 1 campaigns...
2026-04-13 03:49:18,442 | INFO | __main__ | --- Processing campaign_1 ---
2026-04-13 03:49:18,452 | INFO | src.modules.analysis.analysis_module | Executing Stage 1: Analysis...
2026-04-13 03:49:19,350 | INFO | httpx | HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 401 Unauthorized"
2026-04-13 03:49:19,351 | ERROR | __main__ | Error in Analysis for campaign_1: OpenAI API error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-********************************************************************************************************************************************************yrEA. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}
2026-04-13 03:49:19,351 | ERROR | __main__ | Error in Recommendation for campaign_1: Analysis results not found in context. Ensure AnalysisModule ran first.
2026-04-13 03:49:19,351 | INFO | __main__ | All campaigns processed. Results available in: data/outputs/run_20260413_034915
